key,value,label
identified_databases,2898,Records identified from databases
identified_registers,416,Records identified from registers
duplicates_removed,752,Duplicate records removed
automation_removed,0,Records marked ineligible by automation
other_removed,5,Records removed for other reasons
screened,2557,Records screened
screening_excluded,2307,Records excluded at title/abstract screening
reports_sought,250,Reports sought for retrieval
reports_not_retrieved,3,Reports not retrieved
reports_assessed,247,Reports assessed for eligibility
excluded_reason_1,179,Reports excluded: reason 1
excluded_reason_2,9,Reports excluded: reason 2
excluded_reason_3,0,Reports excluded: reason 3
studies_included,64,Studies included in review
reports_included,64,Reports of included studies
