article id,study id,author,title,analysis_year,primary_term,primary_domain,hierarchy_score,coupling_score,included_studies_numeric,data_sources_labels,model_families_labels,standards_labels,computing_labels,domains_labels,functions_labels,validation_methods_labels,maturity_labels,barriers_labels
5,1,"AboArab, M. A.; Potsika, V. T.; Pleouras, D. S.; Fotiadis, D. I.","Computational modeling of drug-eluting balloons in peripheral artery disease: Mechanisms, optimization, and translational insights",2025.0,Digital twin,Cardiovascular,3.0,2.0,78.0,Imaging; Simulation / literature,Mechanistic / physics-based; AI / machine learning; Hybrid,,Cloud,Cardiovascular; Pharmacology / drug development,Treatment / therapy planning; Prediction / prognosis / risk,Empirical / patient-data validation; Simulation / benchmark comparison,Prototype / proof of concept,Interoperability / standards; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
9,1,"Adibi, S.; Rajabifard, A.; Shojaei, D.; Wickramasinghe, N.",Enhancing Healthcare through Sensor-Enabled Digital Twins in Smart Environments: A Comprehensive Analysis,2024.0,Digital twin,Cardiovascular,4.0,3.0,,Imaging; Wearables / sensors / IoT; EHR / clinical records; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid,HL7; DICOM,Cloud; Edge; Hybrid cloud-edge,Cardiovascular; Surgery / orthopedics / dentistry; General / multisystem; Pharmacology / drug development,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,Empirical / patient-data validation; Simulation / benchmark comparison; Conceptual / no model evaluation,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration
15,1,"Akbarialiabad, H.; Pasdar, A.; Murrell, D. F.","Digital twins in dermatology, current status, and the road ahead",2024.0,Digital twin,Dermatology / ophthalmology,4.0,3.0,0.0,Imaging; Wearables / sensors / IoT; EHR / clinical records; Omics / genomics; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid,,Cloud; Edge; Hybrid cloud-edge,Dermatology / ophthalmology,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,,Theoretical / conceptual,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration
51,1,"Banoub, R. G.; Sanghvi, H.; Gill, G. S.; Paredes, A. A.; Bains, H. K.; Patel, A.; Agarwal, A.; Gupta, S.",Enhancing Ophthalmic Care: The Transformative Potential of Digital Twins in Healthcare,2024.0,Digital twin,Dermatology / ophthalmology,4.0,3.0,,Imaging; Wearables / sensors / IoT; Omics / genomics; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid,,Cloud,Dermatology / ophthalmology,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection; Education / training,Empirical / patient-data validation,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
55,1,"Bartusik-Aebisher, D.; Rog??, K.; Aebisher, D.",Artificial Intelligence and ECG: A New Frontier in Cardiac Diagnostics and Prevention,2025.0,Patient digital twin,Cardiovascular,4.0,3.0,152.0,Imaging; Wearables / sensors / IoT; EHR / clinical records; Omics / genomics; Laboratory / biomarkers; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid,HL7; FHIR; DICOM; OMOP,Cloud; Edge; Hybrid cloud-edge; Federated / distributed,Cardiovascular; Neurology / neuroscience,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection; Monitoring; Decision support,Empirical / patient-data validation; Sensitivity / uncertainty analysis,Prototype / proof of concept; Deployed / operational,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Validation / evidence / reproducibility
92,1,"Cappon, G.; Facchinetti, A.",Digital Twins in Type 1 Diabetes: A Systematic Review,2024.0,Digital twin,Diabetes / endocrine,4.0,3.0,8.0,Wearables / sensors / IoT; EHR / clinical records; Simulation / literature; Laboratory / biomarkers; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid,,,Diabetes / endocrine,Treatment / therapy planning; Prediction / prognosis / risk,Empirical / patient-data validation; Simulation / benchmark comparison; Cross-validation / holdout; Conceptual / no model evaluation,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Data quality / availability / integration; Validation / evidence / reproducibility
100,1,"Chaparro-C?rdenas, S. L.; Ramirez-Bautista, J. A.; Terven, J.; C?rdova-Esparza, D. M.; Romero-Gonzalez, J. A.; Ram?rez-Pedraza, A.; Chavez-Urbiola, E. A.",A Technological Review of Digital Twins and Artificial Intelligence for Personalized and Predictive Healthcare,2025.0,Digital twin,Cardiovascular,5.0,3.0,,Imaging; Wearables / sensors / IoT; EHR / clinical records; Omics / genomics; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid; Simulation,,Cloud; Edge; Hybrid cloud-edge; Federated / distributed,Cardiovascular; Oncology; Surgery / orthopedics / dentistry; General / multisystem; Pharmacology / drug development; Neurology / neuroscience,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,Empirical / patient-data validation; Simulation / benchmark comparison; Sensitivity / uncertainty analysis,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
113,1,"Chumnanvej, S.; Tripathi, S.",Assessing the benefits of digital twins in neurosurgery: a systematic review,2024.0,Digital twin,Surgery / orthopedics / dentistry,3.0,3.0,25.0,Imaging; Simulation / literature,Mechanistic / physics-based; AI / machine learning; Hybrid,,,Surgery / orthopedics / dentistry; Neurology / neuroscience,Treatment / therapy planning; Prediction / prognosis / risk; Education / training,Simulation / benchmark comparison; Sensitivity / uncertainty analysis,Deployed / operational,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Data quality / availability / integration
124,1,"Coorey, G.; Figtree, G. A.; Fletcher, D. F.; Snelson, V. J.; Vernon, S. T.; Winlaw, D.; Grieve, S. M.; McEwan, A.; Yang, J. Y. H.; Qian, P.; O'Brien, K.; Orchard, J.; Kim, J.; Patel, S.; Redfern, J.",The health digital twin to tackle cardiovascular disease-a review of an emerging interdisciplinary field,2022.0,Digital twin,Cardiovascular,5.0,3.0,88.0,Imaging; Wearables / sensors / IoT; EHR / clinical records; Simulation / literature; Omics / genomics,Mechanistic / physics-based; AI / machine learning; Hybrid; Statistical / probabilistic; Simulation,,Cloud; Edge; Hybrid cloud-edge,Cardiovascular,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,Empirical / patient-data validation; Sensitivity / uncertainty analysis,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
132,1,"D'Orsi, L.; Capasso, B.; Lamacchia, G.; Pizzichini, P.; Ferranti, S.; Liverani, A.; Fontana, C.; Panunzi, S.; De Gaetano, A.; Lo Presti, E.",Recent Advances in Artificial Intelligence to Improve Immunotherapy and the Use of Digital Twins to Identify Prognosis of Patients with Solid Tumors,2024.0,Digital twin,Oncology,5.0,3.0,96.0,Imaging; Wearables / sensors / IoT; EHR / clinical records; Omics / genomics; Laboratory / biomarkers,Mechanistic / physics-based; AI / machine learning; Hybrid; Statistical / probabilistic,,Cloud,Oncology,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,Simulation / benchmark comparison; Sensitivity / uncertainty analysis,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
